Paper,Paper_code,Estuary,Bordering_Ocean,Season,DIC,TA,S,T,depth,"Datasource (0= numbers 1= calc from rel, 2 = estimated from paper figure",Fig_reference_notes
Zhai_2007,1,Yangtze,East China Sea,winter,2050,2100,0,,,2,fig3- km minus50 estimate
Zhai_2007,1,Yangtze,East China Sea,spring,2000,2100,0,,,2,fig3 - km minus50
Zhai_2007,1,Yangtze,East China Sea,autumn,1800,1850,3,,,2,fig3 - km 0
Zhai_2007,1,Yangtze,East China Sea,spring,1800,1850,3,,,2,fig3 - km 0
Zhai_2007,1,Yangtze,East China Sea,winter,1900,1950,10,,,2,fig3 - km 0
Proum_2018,2,Brunei,South China Sea,?,677.65,230.9,0,,,1,Calc from fig 7 relationship
Proum_2018,2,Brunei,South China Sea,?,872.7,536.65,5,,,1,Calc from fig 7 relationship TA = 230.9+ 61.15 Sal; (c) DIC = 677.65+ 39.01 Sal; 
Proum_2018,2,Brunei,South China Sea,?,1067.75,842.4,10,,,1,Calc from fig 7 relationship
Proum_2018,2,Brunei,South China Sea,?,1457.85,1453.9,20,,,1,Calc from fig 7 relationship
Gonski_2017,3,Delaware Bay ,Atlantic ,Summer - 01jun,1628.464,1806.445,21.8281,23.9199,6.565,0,depth = pressure dbar
Gonski_2017,3,Delaware Bay ,Atlantic ,August,1620.786,1817.370,21.8602,24.072,6.26,0,
Gonski_2017,3,Delaware Bay ,Atlantic ,August,1620.026,1818.103,21.7921,24.2037,5.813,0,
Gonski_2017,3,Delaware Bay ,Atlantic ,August,1623.754,1813.980,21.6692,24.3814,5.457,0,
Gonski_2017,3,Delaware Bay ,Atlantic ,August,1631.501,1809.631,21.53,24.6301,5.074,0,
Gonski_2017,3,Delaware Bay ,Atlantic ,August,1635.901,1800.400,21.2068,24.8074,4.876,0,
Gonski_2017,3,Delaware Bay ,Atlantic ,August,1638.621,1751.856,19.4199,25.018,4.618,0,
Gonski_2017,3,Delaware Bay ,Atlantic ,August,1644.316,1704.651,17.1384,25.2245,4.504,0,
Gonski_2017,3,Delaware Bay ,Atlantic ,August,1651.457,1654.064,14.8358,25.5005,4.392,0,
Gonski_2017,3,Delaware Bay ,Atlantic ,August,1640.935,1608.972,12.5027,25.7216,4.353,0,
Gonski_2017,3,Delaware Bay ,Atlantic ,August,1637.105,1572.673,10.8448,25.8801,4.566,0,
Gonski_2017,3,Delaware Bay ,Atlantic ,August,1623.152,1536.686,8.9891,26.0897,4.829,0,
Gonski_2017,3,Delaware Bay ,Atlantic ,August,1620.837,1540.328,9.7782,26.0283,5.218,0,
Gonski_2017,3,Delaware Bay ,Atlantic ,August,1559.237,1746.993,20.8604,27.7722,5.621,0,
Gonski_2017,3,Delaware Bay ,Atlantic ,August,1540.907,1798.926,21.7732,27.6597,6.076,0,
Gonski_2017,3,Delaware Bay ,Atlantic ,August,1555.585,1810.682,21.6654,27.1395,6.497,0,
Gonski_2017,3,Delaware Bay ,Atlantic ,August,1552.838,1818.379,21.8796,26.7594,6.863,0,
Gonski_2017,3,Delaware Bay ,Atlantic ,August,1525.683,1809.747,21.7916,26.0558,7.281,0,
Gonski_2017,3,Delaware Bay ,Atlantic ,August,1524.843,1817.390,21.9544,25.8819,7.585,0,
Gonski_2017,3,Delaware Bay ,Atlantic ,August,1545.458,1821.579,22.1732,25.7904,7.775,0,
Gonski_2017,3,Delaware Bay ,Atlantic ,August,1545.509,1837.318,22.3054,25.6674,7.855,0,
Cai_2017,4,Chesapeake Bay,Atlantic ,August,1500.000,1500.000,10,,5,2,fig 2 estimate
Cai_2017,4,Chesapeake Bay,Atlantic ,August,1900.000,1900.000,20,,24,2,
Cai_2017,4,Chesapeake Bay,Atlantic ,August,1500.000,1500.000,10,,10,2,
Cai_2017,4,Chesapeake Bay,Atlantic ,August,1700.000,1700.000,15,,10,2,