cruise,station,cast,year,month,day,hour,minute,latitude,longitude,bottomdepth,maxsampdepth,bottle,pressure,depth,temperature,theta,salinity,salinityf,salinityqc,sigma0,sigma1,sigma2,sigma3,sigma4,gamma,oxygen,oxygenf,oxygenqc,aou,aouf,nitrate,nitratef,nitrateqc,nitrite,nitritef,silicate,silicatef,silicateqc,phosphate,phosphatef,phosphateqc,tco2,tco2f,tco2qc,talk,talkf,talkqc,phts25p0,phts25p0f,phtsinsitutp,phtsinsitutpf,phtsqc,cfc11,pcfc11,cfc11f,cfc11qc,cfc12,pcfc12,cfc12f,cfc12qc,cfc113,pcfc113,cfc113f,cfc113qc,ccl4,pccl4,ccl4f,ccl4qc,sf6,psf6,sf6f,c13,c13f,c13qc,c14,c14f,c14err,h3,h3f,h3err,he3,he3f,he3err,he,hef,heerr,neon,neonf,neonerr,o18,o18f,toc,tocf,doc,docf,don,donf,tdn,tdnf,chla,chlaf
2,234,1,1986,7,17,0,0,-58.483,-0.99,4769,4759.8,23,8.8,9,-1.2819999999999998,-1.2822,34.147,2,1,27.472,32.227,36.875,41.416,45.854,27.639,345.82,2,1,16.456,2,25.577,2,1,0.38786,2,69.28,2,1,1.9426,2,1,2184,2,1,-9999,9,1,-9999,9,-9999,9,1,5.377000000000002,184.96,2,1,2.339,332.81,2,1,-9999,-9999,9,1,-9999,-9999,9,1,-9999,-9999,9,-9999,9,0,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,9,-9999,9,-9999,9,-9999,9,-9999,9
2,234,1,1986,7,17,0,0,-58.483,-0.99,4769,4759.8,24,8.8,9,-9999,-9999,34.145,2,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9,1,-9999,9,25.69,2,1,0.37711,2,69.37899999999999,2,1,1.9426,2,1,-9999,9,1,-9999,9,1,-9999,9,-9999,9,1,5.377000000000002,-9999,2,1,2.339,-9999,2,1,-9999,-9999,9,1,-9999,-9999,9,1,-9999,-9999,9,-9999,9,0,-96,2,2,179,2,5,-1.32,2,-9999,4.37,2,-9999,1.924,2,-9999,-9999,9,-9999,9,-9999,9,-9999,9,-9999,9,-9999,9
2,234,3,1986,7,17,0,0,-58.483,-0.99,4769,4759.8,24,15.1,15,-9999,-9999,34.138000000000005,2,1,-9999,-9999,-9999,-9999,-9999,-9999,347.52,2,1,-9999,9,27.846,2,1,0.37711,2,68.984,2,1,1.9525,2,1,-9999,9,1,-9999,9,1,-9999,9,-9999,9,1,5.466,-9999,2,1,2.384,-9999,2,1,-9999,-9999,9,1,-9999,-9999,9,1,-9999,-9999,9,-9999,9,0,-9999,9,-9999,176,2,5,-1.63,2,-9999,4.28,2,-9999,1.903,2,-9999,-0.22,2,-9999,9,-9999,9,-9999,9,-9999,9,-9999,9
2,234,1,1986,7,17,0,0,-58.483,-0.99,4769,4759.8,22,20,20,-9999,-9999,34.158,2,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9,1,-9999,9,25.576,2,1,0.38786,2,69.872,2,1,1.9426,2,1,-9999,9,1,-9999,9,1,-9999,9,-9999,9,1,5.58,-9999,2,1,2.423,-9999,2,1,-9999,-9999,9,1,-9999,-9999,9,1,-9999,-9999,9,-9999,9,0,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,9,-9999,9,-9999,9,-9999,9,-9999,9
2,234,1,1986,7,17,0,0,-58.483,-0.99,4769,4759.8,21,20.5,20,-1.357,-1.3575,34.158,2,1,27.483,32.24,36.891,41.435,45.874,27.656,345.38,2,1,17.593,2,25.576,2,1,0.38786,2,70.07,2,1,1.9426,2,1,2190,2,1,-9999,9,1,-9999,9,-9999,9,1,5.58,191,2,1,2.423,343.28,2,1,-9999,-9999,9,1,-9999,-9999,9,1,-9999,-9999,9,-9999,9,0,-9999,9,-9999,-9999,9,-9999,-1.46,2,-9999,4.42,2,-9999,1.925,2,-9999,-0.32,2,-9999,9,-9999,9,-9999,9,-9999,9,-9999,9
2,234,6,1986,7,17,0,0,-58.483,-0.99,4769,4759.8,81,25,25,-9999,-9999,34.16,2,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9,1,-9999,9,-9999,9,1,-9999,9,-9999,9,1,-9999,9,1,-9999,9,1,-9999,9,1,-9999,9,-9999,9,1,-9999,-9999,9,1,-9999,-9999,9,1,-9999,-9999,9,1,-9999,-9999,9,1,-9999,-9999,9,-9999,9,0,-95,2,2,181,2,5,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,9,-9999,9,-9999,9,-9999,9,-9999,9
2,234,1,1986,7,17,0,0,-58.483,-0.99,4769,4759.8,20,33.8,33,-1.413,-1.4138,34.17,2,1,27.495,32.254,36.905,41.451,45.892,27.675,345.82,2,1,17.673,2,25.576,2,1,0.38785,2,70.267,2,1,1.9327,2,1,2190,2,1,-9999,9,1,-9999,9,-9999,9,1,5.464,186.36,2,1,2.462,347.69,2,1,-9999,-9999,9,1,-9999,-9999,9,1,-9999,-9999,9,-9999,9,0,-9999,9,-9999,191,2,5,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-0.31,2,-9999,9,-9999,9,-9999,9,-9999,9,-9999,9
2,234,1,1986,7,17,0,0,-58.483,-0.99,4769,4759.8,17,53.6,53,-1.431,-1.4322,34.171,2,1,27.496,32.256,36.908,41.45399999999999,45.896,27.687,338.4,2,1,25.264,2,25.576,2,1,0.38785,2,70.66199999999998,2,1,1.9426,2,1,2188,2,1,-9999,9,1,-9999,9,-9999,9,1,5.294,180.34,2,1,2.4530000000000003,346.04,2,1,-9999,-9999,9,1,-9999,-9999,9,1,-9999,-9999,9,-9999,9,0,-9999,9,-9999,187,2,5,-1.44,2,-9999,4.17,2,-9999,1.852,2,-9999,-0.36,2,-9999,9,-9999,9,-9999,9,-9999,9,-9999,9
2,234,1,1986,7,17,0,0,-58.483,-0.99,4769,4759.8,16,54.3,54,-9999,-9999,34.17,2,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9,1,-9999,9,25.576,2,1,0.38785,2,70.66199999999998,2,1,1.9327,2,1,-9999,9,1,-9999,9,1,-9999,9,-9999,9,1,5.294,-9999,2,1,2.4530000000000003,-9999,2,1,-9999,-9999,9,1,-9999,-9999,9,1,-9999,-9999,9,-9999,9,0,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,9,-9999,9,-9999,9,-9999,9,-9999,9
2,234,1,1986,7,17,0,0,-58.483,-0.99,4769,4759.8,15,72.8,72,-1.477,-1.4786,34.185,2,1,27.509,32.27,36.923,41.471,45.913,27.712,344.5,2,1,19.574,2,25.473000000000006,2,1,0.38785,2,70.86,2,1,1.9326,2,1,2191,2,1,-9999,9,1,-9999,9,-9999,9,1,5.4060000000000015,183.61,2,1,2.385,335.58,2,1,-9999,-9999,9,1,-9999,-9999,9,1,-9999,-9999,9,-9999,9,0,-9999,9,-9999,195,2,5,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-0.29,2,-9999,9,-9999,9,-9999,9,-9999,9,-9999,9
2,234,6,1986,7,17,0,0,-58.483,-0.99,4769,4759.8,82,78,77,-9999,-9999,34.189,2,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9,1,-9999,9,-9999,9,1,-9999,9,-9999,9,1,-9999,9,1,-9999,9,1,-9999,9,1,-9999,9,-9999,9,1,-9999,-9999,9,1,-9999,-9999,9,1,-9999,-9999,9,1,-9999,-9999,9,1,-9999,-9999,9,-9999,9,0,-94,2,2,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,9,-9999,9,-9999,9,-9999,9,-9999,9
2,234,1,1986,7,17,0,0,-58.483,-0.99,4769,4759.8,12,93.5,93,-1.51,-1.5121,34.185,2,1,27.51,32.272,36.926,41.475,45.919,27.723000000000006,344.94,2,1,19.465,2,25.268,2,1,0.38785,2,70.563,2,1,1.9326,2,1,2191,2,1,-9999,9,1,-9999,9,-9999,9,1,5.492000000000001,186.11,2,1,2.38,334.21,2,1,-9999,-9999,9,1,-9999,-9999,9,1,-9999,-9999,9,-9999,9,0,-9999,9,-9999,185,2,5,-1.15,2,-9999,4.19,2,-9999,1.855,2,-9999,-0.33,2,-9999,9,-9999,9,-9999,9,-9999,9,-9999,9
2,234,1,1986,7,17,0,0,-58.483,-0.99,4769,4759.8,10,102.8,102,-9999,-9999,34.186,2,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9,1,-9999,9,29.386,2,1,0.3771,2,71.057,2,1,1.9326,2,1,-9999,9,1,-9999,9,1,-9999,9,-9999,9,1,5.395,-9999,2,1,2.331,-9999,2,1,-9999,-9999,9,1,-9999,-9999,9,1,-9999,-9999,9,-9999,9,0,-9999,9,-9999,191,2,5,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,9,-9999,9,-9999,9,-9999,9,-9999,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,